07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
08/04/2026 - 08:10:02 (-3 TMZ) | 06:12:35:02 (Artemis Clock) | how alike we are, how the same thing keeps every single person on planet Earth alive. We evolved on the same planet. We have some shared things about how we love and live that are just universal. And the specialness and preciousness of that really is emphasized when you notice how much else.
08/04/2026 - 08:10:05 (-3 TMZ) | 06:12:35:05 (Artemis Clock) | There is around it.
08/04/2026 - 08:10:33 (-3 TMZ) | 06:12:35:33 (Artemis Clock) | Thank you for cheering us along anyway. And Jessica, I always hoped we would be in space again together, but I never thought it would be like this. It's amazing. Congratulations to you on being commander, and I hope you have an amazing rest of your trip in space.
08/04/2026 - 08:10:59 (-3 TMZ) | 06:12:35:59 (Artemis Clock) | because everyone's talking about the records and the distance, and we ran to the far end of the space station when you guys were on the other side so that we could claim we were the furthest away from you in that moment.
08/04/2026 - 08:11:24 (-3 TMZ) | 06:12:36:24 (Artemis Clock) | We were doing the same shenanigans here. When we got to the furthest point from the moon, I tried to get to the furthest... I'm sorry, the furthest point from Earth. I tried to get to the furthest point in the spacecraft, and my crewmates were clawing me down, and I know that's a joke. We were busy doing science, but we had that same conversation. It was a lot of fun. I don't know how...
08/04/2026 - 08:11:55 (-3 TMZ) | 06:12:36:55 (Artemis Clock) | I thank the entire world to do amazing things like this and to get to come together as this group of people and talk for just a minute at these distances. We are all off the planet Earth right now and we're all gonna go home to that planet, and that is a very special thing. So thank you all for tying in.
08/04/2026 - 08:12:07 (-3 TMZ) | 06:12:37:07 (Artemis Clock) | We are loving all four of you from here, from the space station in low Earth orbit. We'll keep the fires burning here.
08/04/2026 - 08:12:13 (-3 TMZ) | 06:12:37:13 (Artemis Clock) | And we'll keep carrying the fire. Thanks, guys. Over and out.
08/04/2026 - 08:12:38 (-3 TMZ) | 06:12:37:38 (Artemis Clock) | Coming up next for the Artemis II crew is a conference with the science team. They will be reviewing what they saw yesterday during their lunar flyby, sharing any findings or interesting information with the science team while it's all still fresh for the crew members. Of course, they have quite a lot of audio recordings.
08/04/2026 - 08:13:04 (-3 TMZ) | 06:12:38:04 (Artemis Clock) | Integrity, science, I have to start with a giant wow. Our whole lunar science team and the broader science community has been pouring out positive feedback and gratitude, so know that what you did yesterday really made a difference scientifically. Also want to say the science team has
08/04/2026 - 08:13:40 (-3 TMZ) | 06:12:38:40 (Artemis Clock) | commenting that being able to discuss with each other amongst your crew, taking things from observation to inference to hypotheses, really added scientific value, and so we'd love to build on that here. So we'll ask specific questions for you guys, but please treat it like a discussion as we...
08/04/2026 - 08:13:46 (-3 TMZ) | 06:12:38:46 (Artemis Clock) | I heard you yesterday that that enhanced value. When you're ready, I'll dive into our questions.
08/04/2026 - 08:14:17 (-3 TMZ) | 06:12:39:17 (Artemis Clock) | So you all had the Earth in view during the majority of your flyby. Did you notice any time when the brightness of Earth began to change your view of the moon's brightness? And can you describe how your perception of the moon's color changed as the Earth came closer to the moon?
08/04/2026 - 08:14:48 (-3 TMZ) | 06:12:39:48 (Artemis Clock) | He's looking straight. The moon was already at a point where I was losing our subtle albedo differences. I think it's the angle of incidence, the angle of the sun to the moon didn't change much, but we moved to the side, so we were seeing a different angle, and the color was less apparent. Oriental had also...
08/04/2026 - 08:15:19 (-3 TMZ) | 06:12:40:19 (Artemis Clock) | and the lack of space kind of seemed to go together, but then the more in the dull sense, but then the vividness and brightness, like the difference between an LED display and a painting, right? You can just do things with light that you can't do with paint colors.
08/04/2026 - 08:15:38 (-3 TMZ) | 06:12:40:38 (Artemis Clock) | was earlier apparent in the mode. I'm passing to Christina.
08/04/2026 - 08:15:50 (-3 TMZ) | 06:12:40:50 (Artemis Clock) | You saw me nodding vigorously back here. That wasn't just my fantastic listening skills. I was nodding to make sure... Oh, we're not on video. This whole time I've been on the show. We... I was nodding, now you know, because I agree...
08/04/2026 - 08:16:15 (-3 TMZ) | 06:12:41:15 (Artemis Clock) | comment that the moon turned into a sponge, a sponge of light. In my mind, before the Earth came into view, the moon actually was reflecting light and it was lit up. As soon as the Earth got close enough to be in my field of view, to take them both in at the same time, it exactly.
08/04/2026 - 08:16:41 (-3 TMZ) | 06:12:41:41 (Artemis Clock) | All of you, Om crater was observed by all four of you, and we're interested in whether your different viewing angles resulted in how you observed Om. Jeremy and Reed saw it first. Were you able to see the ejecta rays, the central peak? And then Christina and Victor, you were next.
08/04/2026 - 08:17:01 (-3 TMZ) | 06:12:42:01 (Artemis Clock) | to hear from Jeremy and Reed.
08/04/2026 - 08:17:27 (-3 TMZ) | 06:12:42:27 (Artemis Clock) | The ejecta is like the brownish-gray darker area that makes the like 12 o'clock to 3 o'clock cut of the pie shape, like that was always very apparent, and the ejecta rays just made that contrast much more apparent. But overall, it did not change drastically as
08/04/2026 - 08:17:33 (-3 TMZ) | 06:12:42:33 (Artemis Clock) | As we went around the moon, unlike Oriental, which drastically changed as we went around the moon.
08/04/2026 - 08:17:53 (-3 TMZ) | 06:12:42:53 (Artemis Clock) | The primary ray of all that comes out of roughly the three o'clock position was on the mare, and I'm not sure if I was picking that up initially in our first observations, but definitely in the latter. Did you notice that at all?
08/04/2026 - 08:17:58 (-3 TMZ) | 06:12:42:58 (Artemis Clock) | Now the fire on the near side
08/04/2026 - 08:18:24 (-3 TMZ) | 06:12:43:24 (Artemis Clock) | Now this view inside the SER, the Science Evaluation Room, you can see this team of scientists taking a look at one of the photos that the crew shared. And you can see the photos from the crew at images.nasa.gov or by visiting NASA's social media.
08/04/2026 - 08:18:29 (-3 TMZ) | 06:12:43:29 (Artemis Clock) | That's at NASA or at NASA Artemis.
08/04/2026 - 08:18:49 (-3 TMZ) | 06:12:43:49 (Artemis Clock) | a wing positioned to look at the spacecraft itself.
08/04/2026 - 08:19:15 (-3 TMZ) | 06:12:44:15 (Artemis Clock) | We are targeting the RTC-1 burn today, that's Return Trajectory Correction 1. That is targeted for about 7:03 p.m. Central Time. This is a small burn using the Reaction Control System thrusters on the service module of the Orion spacecraft. This helps us fine-tune our...
08/04/2026 - 08:19:20 (-3 TMZ) | 06:12:44:20 (Artemis Clock) | our path back home.
08/04/2026 - 08:19:40 (-3 TMZ) | 06:12:44:40 (Artemis Clock) | They have another one of these in a couple of hours when they will have the final burn plans uplinked and the final targeting complete.
08/04/2026 - 08:20:01 (-3 TMZ) | 06:12:45:01 (Artemis Clock) | And so the teams here park the solar arrays into a safe harbor position. That means any motion that they experience due to the exercise doesn't damage the solar arrays.
08/04/2026 - 08:20:21 (-3 TMZ) | 06:12:45:21 (Artemis Clock) | 170 miles from the moon and 228,090 miles from Earth, continuing to grow closer. You can keep up with this data at any time by visiting nasa.gov/trackartemis.
08/04/2026 - 08:20:40 (-3 TMZ) | 06:12:45:40 (Artemis Clock) | maneuver.
08/04/2026 - 08:20:52 (-3 TMZ) | 06:12:45:52 (Artemis Clock) | In the Guidance Solutions section, the Delta-V tote now 1.4 feet per second. The TGO is unchanged at one five seconds.
08/04/2026 - 08:21:17 (-3 TMZ) | 06:12:46:17 (Artemis Clock) | pitch two six, roll two eight seven.
08/04/2026 - 08:21:23 (-3 TMZ) | 06:12:46:23 (Artemis Clock) | That was CAPCOM Stan Love here in Mission Control Houston, a fellow NASA astronaut, speaking with NASA's Christina Koch aboard the Orion spacecraft.
08/04/2026 - 08:21:43 (-3 TMZ) | 06:12:46:43 (Artemis Clock) | for their return trajectory correction burn. It's the first of these return trajectory correction burns, reported to be a 1.4 foot-per-second delta-V burn.
08/04/2026 - 08:21:48 (-3 TMZ) | 06:12:46:48 (Artemis Clock) | Such a fantastic view coming from a solar array camera on Orion looking back at all of us here on Earth.
08/04/2026 - 08:21:54 (-3 TMZ) | 06:12:46:54 (Artemis Clock) | Currently the spacecraft is 227,756 miles away from our home planet.
08/04/2026 - 08:22:19 (-3 TMZ) | 06:12:47:19 (Artemis Clock) | spacecraft exited the lunar sphere of influence. That's when the pull of gravity is strongest on the spacecraft. And we are standing by for the Return Trajectory Correction 1 burn, now just 43 minutes away. Again, this is a small maneuver for the spacecraft, firing of those reactors.
08/04/2026 - 08:22:24 (-3 TMZ) | 06:12:47:24 (Artemis Clock) | and control system thrusters.
08/04/2026 - 08:22:30 (-3 TMZ) | 06:12:47:30 (Artemis Clock) | Again integrity, MCC is go for the burn.
08/04/2026 - 08:22:51 (-3 TMZ) | 06:12:47:51 (Artemis Clock) | Ground team confirmed that we are go for the RTC-1 burn, return trajectory correction 1, coming up in 27 minutes. That will be at 7:03 p.m. Central time.
08/04/2026 - 08:22:56 (-3 TMZ) | 06:12:47:56 (Artemis Clock) | Interior tank pressures are good for the burn.
08/04/2026 - 08:23:16 (-3 TMZ) | 06:12:48:16 (Artemis Clock) | We have ignition and four good engines and good control.
08/04/2026 - 08:23:38 (-3 TMZ) | 06:12:48:38 (Artemis Clock) | Integrity preliminary look is a good burn. Still assessing, forty seconds to LOS.
08/04/2026 - 08:23:48 (-3 TMZ) | 06:12:48:48 (Artemis Clock) | Okay, Stan, we saw a good burn on board as well.
08/04/2026 - 08:23:50 (-3 TMZ) | 06:12:48:50 (Artemis Clock) | Roger.
08/04/2026 - 08:24:08 (-3 TMZ) | 06:12:49:08 (Artemis Clock) | burn coming at 7:03 p.m. Central Time. This view coming from the spacecraft, looking down at the European Service Module and solar arrays.
08/04/2026 - 08:24:28 (-3 TMZ) | 06:12:49:28 (Artemis Clock) | And it ended up being one point six.
08/04/2026 - 08:24:29 (-3 TMZ) | 06:12:49:29 (Artemis Clock) | feet per second at delta-v.
08/04/2026 - 08:24:48 (-3 TMZ) | 06:12:49:48 (Artemis Clock) | as they had a very busy day yesterday and have some busy days coming up as well.
08/04/2026 - 08:24:53 (-3 TMZ) | 06:12:49:53 (Artemis Clock) | And Reed, we just went around the room. We are all good. You can begin exercise now if you'd like.
08/04/2026 - 08:25:14 (-3 TMZ) | 06:12:50:14 (Artemis Clock) | It's pretty cool to just sit there and float and feel the vehicle kind of, it's almost, it's not like a ship rocking in the ocean, but you definitely feel it wiggling around.
08/04/2026 - 08:25:35 (-3 TMZ) | 06:12:50:35 (Artemis Clock) | as well as our data, but good to hear your report on it as well.
08/04/2026 - 08:25:59 (-3 TMZ) | 06:12:50:59 (Artemis Clock) | Clearly not if it interrupts any sort of ops down there.
08/04/2026 - 08:26:05 (-3 TMZ) | 06:12:51:05 (Artemis Clock) | Reid, we think that will be doable. We will double-check and we'll let you know when you're done exercising.
08/04/2026 - 08:26:26 (-3 TMZ) | 06:12:51:26 (Artemis Clock) | Okay, great. Thank you.
08/04/2026 - 08:32:17 (-3 TMZ) | 06:12:57:17 (Artemis Clock) | with our 24/7 continuous coverage of the Artemis II mission.
08/04/2026 - 08:32:23 (-3 TMZ) | 06:12:57:23 (Artemis Clock) | At a mission elapsed time of 6 days, 12 hours, 56 minutes and counting, we are continuing to provide you with that live 24-7 coverage. The Orion spacecraft named Integrity is 75,729 miles away from the moon and 273,000.
08/04/2026 - 08:32:28 (-3 TMZ) | 06:12:57:28 (Artemis Clock) | Miles
08/04/2026 - 08:32:31 (-3 TMZ) | 06:12:57:31 (Artemis Clock) | away from Earth.
08/04/2026 - 08:32:48 (-3 TMZ) | 06:12:57:48 (Artemis Clock) | integrity and their sleep shift will last until a mission elapsed time of six days, seventeen hours.
08/04/2026 - 08:33:08 (-3 TMZ) | 06:12:58:08 (Artemis Clock) | crew aboard the International Space Station, which was a highlight for both of the crews and the many teams supporting here on the ground.
08/04/2026 - 08:33:19 (-3 TMZ) | 06:12:58:19 (Artemis Clock) | The crew also got an opportunity for a detailed debrief following the lunar flyby with our science team. We also continued gathering that imagery during the scheduled science observation opportunities over the course of the mission.
08/04/2026 - 08:33:45 (-3 TMZ) | 06:12:58:45 (Artemis Clock) | Thrusters for 15 seconds producing a change in velocity at 1.6 feet per second, guiding the Artemis 2 crew towards Earth.
08/04/2026 - 08:34:05 (-3 TMZ) | 06:12:59:05 (Artemis Clock) | and monitored the spacecraft's configuration and navigation data.
08/04/2026 - 08:34:45 (-3 TMZ) | 06:12:59:45 (Artemis Clock) | entry day. We'll also do another detailed flight test objective for manual piloting.
08/04/2026 - 08:34:56 (-3 TMZ) | 06:12:59:56 (Artemis Clock) | The recovery ship, the USS John P. Murtha, left the port and is headed over to the recovery point off the Pacific Ocean. We'll continue to provide updates on recovery operations and weather during daily mission status briefings that take place.
08/04/2026 - 08:35:07 (-3 TMZ) | 06:13:00:07 (Artemis Clock) | Speaking of splashdown, splashdown is coming up two days, 12 hours, 18 minutes and counting down.
08/04/2026 - 08:35:33 (-3 TMZ) | 06:13:00:33 (Artemis Clock) | You can find these images on our social media channels at NASA, @NASAArtemis, @NASAJohnson, @NASASolarSystem, so several ways, as well as images.nasa.gov. Many of you have asked about the images and how we process them, so I wanted to share that with you. Our images team, our imaging
08/04/2026 - 08:36:04 (-3 TMZ) | 06:13:01:04 (Artemis Clock) | It's important to note, we are seeing some stunning images, but there is no color correction, exposure correction, or cropping that happens during the processing of the photos as they come down from Orion. At most, they are just rotated to correct the image orientation so we know what we are looking at. Once again, if you wanna see our...
08/04/2026 - 08:36:10 (-3 TMZ) | 06:13:01:10 (Artemis Clock) | To see the latest gallery, you will find that at images.nasa.gov.
08/04/2026 - 08:36:30 (-3 TMZ) | 06:13:01:30 (Artemis Clock) | The crew is scheduled to wake up in 3 hours, 59 minutes and counting down. For now, this is Mission Control Houston.
08/04/2026 - 08:41:31 (-3 TMZ) | 06:13:06:31 (Artemis Clock) | courage.
08/04/2026 - 08:41:38 (-3 TMZ) | 06:13:06:38 (Artemis Clock) | I wanted to take a moment to point out the views that we're getting right now are live from the Orion spacecraft. This is from solar array wing camera number four. And the little crescent that you see in front of you is actually Earth. The crescent shape is with...
08/04/2026 - 08:41:43 (-3 TMZ) | 06:13:06:43 (Artemis Clock) | Here you see the sun hitting the Earth and that part of the Earth is in daylight, whereas the other side of the Earth is in nighttime.
08/04/2026 - 08:41:54 (-3 TMZ) | 06:13:06:54 (Artemis Clock) | We'll continue to share as many live feeds and views as possible and provide updates as they become available. This is Mission Control Houston.
08/04/2026 - 09:00:49 (-3 TMZ) | 06:13:25:49 (Artemis Clock) | mission elapsed time of 6 days, 13 hours, 25 minutes, and counting. We are continuing to provide you with live coverage of the Artemis 2 mission. While the crew is currently asleep aboard the Orion spacecraft named Integrity, let's take a look back at Flight Day 7's mission highlights.
08/04/2026 - 09:01:41 (-3 TMZ) | 06:13:26:41 (Artemis Clock) | Hello, Houston, we are at a mission elapsed time of 5 days, 14 hours, 2 minutes, and counting. The Artemis II crew is currently in their sleep period. Now, we would like to share with the world that while the crew is asleep, we did receive some of those stunning downlinked images from the lunar flyby, which took place earlier in the crew's day.
08/04/2026 - 09:02:07 (-3 TMZ) | 06:13:27:07 (Artemis Clock) | There's a soft blue arc fading behind a silent, cratered horizon. And this view shows the moon fully eclipsing the sun. From their vantage point, the moon appears large enough to completely block the sun, creating nearly 54 minutes of totality.
08/04/2026 - 09:02:38 (-3 TMZ) | 06:13:27:38 (Artemis Clock) | faint glow on the moon's surface. That's sunlight reflected from the Earth, softly illuminating the near side. It's a striking view and a rare opportunity to observe and document the corona as we return to deep space.
08/04/2026 - 09:03:19 (-3 TMZ) | 06:13:28:19 (Artemis Clock) | Here at Johnson Space Center in Houston, Texas, I'm Leah Cheshire Mastachio. The Orbit One team has just taken over from the Orbit Two team and is led by Jeff Rattigan, NASA flight director. The CAPCOM or capsule communicator for today is Stan Love. He's a NASA astronaut and is the only voice you'll hear communicating with the crew.
08/04/2026 - 09:03:45 (-3 TMZ) | 06:13:28:45 (Artemis Clock) | If you tuned in yesterday, you got a treat and we got to see amazing views of the moon as well as hear the crew's description of them. Now, while the crew was taking those photos, they were also recording private voice notes that they sent down to the science team overnight. This morning, the science team is going to talk about the
08/04/2026 - 09:04:10 (-3 TMZ) | 06:13:29:10 (Artemis Clock) | A ship-to-ship call. The Orion spacecraft and the four Artemis II astronauts, Reid Wiseman, Victor Glover, Christina Koch, and Jeremy Hansen, will be calling the International Space Station. We have seven crew members living and working aboard the International Space Station, and we've just surpassed 25 years of continuous human presence.
08/04/2026 - 09:04:30 (-3 TMZ) | 06:13:29:30 (Artemis Clock) | other.
08/04/2026 - 09:04:56 (-3 TMZ) | 06:13:29:56 (Artemis Clock) | Making its way around the moon over 50 years since its originally intended flight. The other American flag aboard Orion is from a little more recent history. It was flown on STS-1, the first space shuttle flight; STS-135, the last space shuttle flight; and NASA SpaceX.
08/04/2026 - 09:05:22 (-3 TMZ) | 06:13:30:22 (Artemis Clock) | Good morning, Houston. We are 202,306 nautical miles away. Earth is pulling us back, and we are happy about that. We're ready for morning DPC.
08/04/2026 - 09:05:33 (-3 TMZ) | 06:13:30:33 (Artemis Clock) | We're happy about that too, and ready for DPC. We've got about a dozen quick items for you, the first of which is updated nominal burn plan and nominal RTC last are on board.
08/04/2026 - 09:05:59 (-3 TMZ) | 06:13:30:59 (Artemis Clock) | of space explorers, NASA astronaut Christina Koch and Canadian Space Agency astronaut Jeremy Hansen. Reid and I are both members and we're proud to welcome the two of them to this international body of human space explorers, and also congratulations to Jack Hathaway, who recently joined aboard the International Space Station.
08/04/2026 - 09:06:18 (-3 TMZ) | 06:13:31:18 (Artemis Clock) | Welcome to the club.
08/04/2026 - 09:06:21 (-3 TMZ) | 06:13:31:21 (Artemis Clock) | Integrity, this is Houston. Are you ready for the event?
08/04/2026 - 09:06:39 (-3 TMZ) | 06:13:31:39 (Artemis Clock) | Station, this is Mission Control Houston. Please call Integrity for a voice check.
08/04/2026 - 09:06:46 (-3 TMZ) | 06:13:31:46 (Artemis Clock) | Integrity, this is the International Space Station. How do you hear?
08/04/2026 - 09:06:51 (-3 TMZ) | 06:13:31:51 (Artemis Clock) | Hey, International Space Station and Jessica, we have you loud and clear. How about us?
08/04/2026 - 09:07:11 (-3 TMZ) | 06:13:32:11 (Artemis Clock) | You right now, and it is making us so excited. We feel like you're here with us, and this is really just making our entire week right now.
08/04/2026 - 09:07:25 (-3 TMZ) | 06:13:32:25 (Artemis Clock) | We have been waiting for this like you can't imagine. Let me go check on our PFD. We are 201,726, now 25, nautical miles from Planet Earth, which is just hard to believe. The scales are impossible to believe. And for the run of show this morning...
08/04/2026 - 09:07:45 (-3 TMZ) | 06:13:32:45 (Artemis Clock) | We'll let you three apologists get on with it.
08/04/2026 - 09:08:10 (-3 TMZ) | 06:13:33:10 (Artemis Clock) | Thank you so much up here, or we try to anyway, emphasize how important the work is that we're all doing in this program to do the types of things that get us ready to get back on the surface of the moon, and like the administrator was saying yesterday, on to Mars. And so we just appreciate you, and it's fun to be up in space with you at the same time.
08/04/2026 - 09:08:16 (-3 TMZ) | 06:13:33:16 (Artemis Clock) | time.
08/04/2026 - 09:08:41 (-3 TMZ) | 06:13:33:41 (Artemis Clock) | As humans to come up here and look down at the Earth from above. Every astronaut that comes to space remarks on that, and we really wanted to hear what that felt like, how different that felt now from your new perspective around the Moon.
08/04/2026 - 09:09:23 (-3 TMZ) | 06:13:34:23 (Artemis Clock) | but how much blackness there was around it, and how it just made it even more special. It truly emphasized how alike we are, how the same thing keeps every single person on planet Earth alive. We evolved on the same planet. We have some shared things about
08/04/2026 - 09:09:42 (-3 TMZ) | 06:13:34:42 (Artemis Clock) | is emphasized when you notice how much else there is around it.
08/04/2026 - 09:09:54 (-3 TMZ) | 06:13:34:54 (Artemis Clock) | Well, I hope I'm not talking over somebody, but I wanted to say a couple things to my astronaut sister Jessica. One, sorry to steal your next spacewalk day, everybody, but thank you for cheering us along anyway. And Jessica, I always hope we will be in space again together.
08/04/2026 - 09:10:25 (-3 TMZ) | 06:13:35:25 (Artemis Clock) | Thank you so much, Christina. I totally share all the same sentiments, and I'm so happy that we are back in space together, even if we are, you know, a few miles apart. We like to joke about that up here, too, because everyone's talking about the records and the distance, and we ran to the far end of the space station when you guys were on the moon.
08/04/2026 - 09:10:35 (-3 TMZ) | 06:13:35:35 (Artemis Clock) | on the other side so that we could claim we were the furthest away from you in that moment.
08/04/2026 - 09:11:00 (-3 TMZ) | 06:13:36:00 (Artemis Clock) | I'm sorry, the first point, I tried to get to the furthest point in the spacecraft and my crewmates were clawing me down, and I know that's a joke. We were busy doing science, but we had that same conversation. It was a lot of fun. I don't know how much longer we have here, but from the four members of the spacecraft intake...
08/04/2026 - 09:11:25 (-3 TMZ) | 06:13:36:25 (Artemis Clock) | I thank the entire world to do amazing things like this and to get to come together as this group of people and talk for just a minute at these distances. We are all off the planet Earth right now and we're all going to go home to that planet and that is a very special thing. So thank you all for tuning in.
08/04/2026 - 09:11:45 (-3 TMZ) | 06:13:36:45 (Artemis Clock) | here.
08/04/2026 - 09:11:48 (-3 TMZ) | 06:13:36:48 (Artemis Clock) | And we'll keep carrying the fire. Thanks, guys. Over and out.
08/04/2026 - 09:12:11 (-3 TMZ) | 06:13:37:11 (Artemis Clock) | They will be reviewing what they saw yesterday during their lunar flyby, sharing any findings or interesting information with the science team while it's all still fresh for the crew members. Of course, they have quite a lot of audio recordings that have been downlinked to the science team, and that team has been reviewing and will continue to do so to...
08/04/2026 - 09:12:22 (-3 TMZ) | 06:13:37:22 (Artemis Clock) | to help them understand what the crew saw and formulate new thoughts about our moon.
08/04/2026 - 09:12:48 (-3 TMZ) | 06:13:37:48 (Artemis Clock) | positive feedback and gratitude, so know that what you did yesterday really made a difference scientifically. I also want to say the science team has confirmed the locations of the proposed integrity and Carol craters, and it was such a powerful moment here for everybody listening and following along. And then...
08/04/2026 - 09:13:13 (-3 TMZ) | 06:13:38:13 (Artemis Clock) | Taking things from observation to inference to hypotheses really added scientific value, and so we'd love to build on that here. So we'll ask specific questions for you guys, but please treat it like a discussion, as we heard you yesterday that that enhanced value. When you're ready, I'll dive into our questions.
08/04/2026 - 09:13:44 (-3 TMZ) | 06:13:38:44 (Artemis Clock) | So you all had the Earth in view during the majority of your flyby. Did you notice any time when the brightness of Earth began to change your view of the moon's brightness? And can you describe how your perception of the moon's color changed as the Earth came closer to the moon?
08/04/2026 - 09:14:10 (-3 TMZ) | 06:13:39:10 (Artemis Clock) | When it was in what I'll call my field of view, not my field of regard, when I could just see it looking straight, the moon was already at a point where I was losing out subtle albedo differences. I think it's the angle of incidence, the angle the sun to the moon didn't change much, but we moved to the side, and so we were seeing a different angle.
08/04/2026 - 09:14:51 (-3 TMZ) | 06:13:39:51 (Artemis Clock) | And the black of space kind of seemed to go together, but then the kind of more in the dull sense, but then the vividness and brightness, like the difference between an LED display and a painting, right? You can just do things with light that you can't do with paint colors.
08/04/2026 - 09:15:11 (-3 TMZ) | 06:13:40:11 (Artemis Clock) | was earlier apparent in the moon, I'm passing the crescent.
08/04/2026 - 09:15:37 (-3 TMZ) | 06:13:40:37 (Artemis Clock) | I was nodding, now you know, because I agreed with everything he said. I'll add a couple thoughts that popped into my mind, which was, I think I made the comment that the moon turned into a sponge, a sponge of light. In my mind, before the Earth came into view, the moon actually
08/04/2026 - 09:16:08 (-3 TMZ) | 06:13:41:08 (Artemis Clock) | Next question is for all of you. Ohm crater was observed by all four of you, and we're interested in whether your different viewing angles resulted in how you observed Ohm. Jeremy and Reid saw it first.
08/04/2026 - 09:16:28 (-3 TMZ) | 06:13:41:28 (Artemis Clock) | Later in the past, could you resolve similar or different features than what you're about to hear from Jeremy and Reed?
08/04/2026 - 09:16:59 (-3 TMZ) | 06:13:41:59 (Artemis Clock) | That area that makes the like 12 o'clock to 3 o'clock cut of the pie shape, like, that that was always very apparent, and then the ejector rays just made that contrast much more apparent. But overall, ohm did not, it did not change drastically as, as we went around the moon, unlike Oriental, which drastically changed as we went around.
08/04/2026 - 09:17:24 (-3 TMZ) | 06:13:42:24 (Artemis Clock) | Later on in the orbit that I noticed the ray of like the primary ray of on that comes out of roughly the 3 o'clock position was on the mare. And I'm not sure if I was picking that up initially in our first observations, but definitely in the latter. Did you notice that?
08/04/2026 - 09:17:27 (-3 TMZ) | 06:13:42:27 (Artemis Clock) | Is it on?
08/04/2026 - 09:17:30 (-3 TMZ) | 06:13:42:30 (Artemis Clock) | Now the far, the nearside Marie.
08/04/2026 - 09:17:55 (-3 TMZ) | 06:13:42:55 (Artemis Clock) | Now this view inside the SER, the Science Evaluation Room, you can see this team of scientists taking a look at one of the photos that the crew shared. And you can see the photos from the crew at images.nasa.gov or by visiting NASA's social media.
08/04/2026 - 09:18:00 (-3 TMZ) | 06:13:43:00 (Artemis Clock) | media, that's @NASA or @NASAArtemis.
08/04/2026 - 09:18:21 (-3 TMZ) | 06:13:43:21 (Artemis Clock) | The wing positioned to look at the spacecraft itself.
08/04/2026 - 09:18:47 (-3 TMZ) | 06:13:43:47 (Artemis Clock) | We are targeting the RTC-1 burn today, that's Return Trajectory Correction 1. That is targeted for about 7:03 p.m. Central Time. This is a small burn using the Reaction Control System thrusters on the service module of the Orion spacecraft. This helps us fine-tune our
08/04/2026 - 09:18:52 (-3 TMZ) | 06:13:43:52 (Artemis Clock) | Our path back home.
08/04/2026 - 09:19:18 (-3 TMZ) | 06:13:44:18 (Artemis Clock) | They have another one of these in a couple of hours when they will have the final burn plans uplinked and the final targeting complete. Here's a video from the outside of Orion, and as we mentioned, pilot Victor Glover is exercising. We do see the spacecraft move a little bit.
08/04/2026 - 09:19:29 (-3 TMZ) | 06:13:44:29 (Artemis Clock) | when the crew is exercising, and so the teams here park the solar arrays into a safe harbor position. That means any motion that they experience due to the exercise doesn't damage the solar arrays.
08/04/2026 - 09:19:50 (-3 TMZ) | 06:13:44:50 (Artemis Clock) | 170 miles from the moon and 228,090 miles from Earth, continuing to grow closer. You can keep up with this data at any time by visiting nasa.gov/trackartemis.
08/04/2026 - 09:20:09 (-3 TMZ) | 06:13:45:09 (Artemis Clock) | maneuver.
08/04/2026 - 09:20:30 (-3 TMZ) | 06:13:45:30 (Artemis Clock) | Changed at one five seconds.
08/04/2026 - 09:20:50 (-3 TMZ) | 06:13:45:50 (Artemis Clock) | Roll two eight seven.
08/04/2026 - 09:20:56 (-3 TMZ) | 06:13:45:56 (Artemis Clock) | That was Capcom Stan Love here in Mission Control Houston, a fellow NASA astronaut speaking with NASA's Christina Koch aboard the Orion spacecraft.
08/04/2026 - 09:21:16 (-3 TMZ) | 06:13:46:16 (Artemis Clock) | Trajectory correction burns, reported to be a 1.4 foot per second delta-v burn.
08/04/2026 - 09:21:33 (-3 TMZ) | 06:13:46:33 (Artemis Clock) | Such a fantastic view coming from a solar array camera on Orion, looking back at all of us here on Earth.
08/04/2026 - 09:21:36 (-3 TMZ) | 06:13:46:36 (Artemis Clock) | Currently the spacecraft is 227,756 miles away from our home planet.
08/04/2026 - 09:21:39 (-3 TMZ) | 06:13:46:39 (Artemis Clock) | Orion is now 49,168 miles away from the moon. Earlier today, the spacecraft exited the lunar sphere of influence. That's when the pull of gravity is strongest on the spacecraft.
08/04/2026 - 09:21:59 (-3 TMZ) | 06:13:46:59 (Artemis Clock) | This is a small maneuver for the spacecraft, a firing of those reaction control system thrusters.
08/04/2026 - 09:22:02 (-3 TMZ) | 06:13:47:02 (Artemis Clock) | An integrity, MCC is go for the burn.
08/04/2026 - 09:22:10 (-3 TMZ) | 06:13:47:10 (Artemis Clock) | Okay, we copy, you're still good, and we'll go up here.
08/04/2026 - 09:22:30 (-3 TMZ) | 06:13:47:30 (Artemis Clock) | 7:03 p.m. Central Time.
08/04/2026 - 09:22:32 (-3 TMZ) | 06:13:47:32 (Artemis Clock) | Integrity tank pressures are good for the burn.
08/04/2026 - 09:22:35 (-3 TMZ) | 06:13:47:35 (Artemis Clock) | Standing by for the RTC1 burn.
08/04/2026 - 09:22:42 (-3 TMZ) | 06:13:47:42 (Artemis Clock) | We have ignition and four good engines and good control.
