06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
07/04/2026 - 07:50:17 (-3 TMZ) | 05:12:15:17 (Artemis Clock) | We do have a countdown clock up here at Mission Control. Splashdown is coming up, three days, 13 hours, three minutes and counting down.
07/04/2026 - 07:50:35 (-3 TMZ) | 05:12:15:35 (Artemis Clock) | Day six was filled with flyby operations. The crew began their day at a mission elapsed time of four days, 16 hours, 15 minutes, and after their post-sleep period during which they completed hygiene activities, standard cabin configurations, and ate breakfast, they had a daily planning conference and then
07/04/2026 - 07:50:55 (-3 TMZ) | 05:12:15:55 (Artemis Clock) | Spacecraft surpassed the Apollo 13 distance record, which marks the record for humans' farthest distance from Earth previously set by the Apollo 13 mission.
07/04/2026 - 07:51:20 (-3 TMZ) | 05:12:16:20 (Artemis Clock) | 4 days, 20 hours, 15 minutes, and continued through 5 days, 3 hours, with approximately 6 hours allotted for Orion's attitude to allow the crew to make observations about the moon. The closest lunar approach took place at 5 days, 25 minutes, which is when Orion passed approximately 4,000.
07/04/2026 - 07:51:45 (-3 TMZ) | 05:12:16:45 (Artemis Clock) | Following the completion of flyby, the crew began transferring data and images and then prepared for a public affairs event with President Donald Trump and then with our NASA administrator Jared Isaacman who took questions from social media.
07/04/2026 - 07:52:11 (-3 TMZ) | 05:12:17:11 (Artemis Clock) | conference with the Orbit 2 flight director before preparing for sleep. So now the crew is getting some much-deserved rest, as I mentioned, and while the crew sleeps, just about an hour or so from now, we will begin our crew module, service module external survey.
07/04/2026 - 07:52:46 (-3 TMZ) | 05:12:17:46 (Artemis Clock) | Along those lines, post-FIRB, we'll continue to be here in Mission Control and provide you with regular updates on the Artemis II mission. But for now, this is Mission Control Houston.
07/04/2026 - 07:59:49 (-3 TMZ) | 05:12:24:49 (Artemis Clock) | Integrity is currently in their sleep period.
07/04/2026 - 07:59:55 (-3 TMZ) | 05:12:24:55 (Artemis Clock) | Integrity is currently 26,800 miles and counting away from the moon, and 241,500 miles and counting away from Earth.
07/04/2026 - 08:00:21 (-3 TMZ) | 05:12:25:21 (Artemis Clock) | After entered the lunar sphere of influence and went around the moon. The anticipation, the emotions and the imagery, all of this was out of this world, literally. The crew's descriptions of what they could see with their own eyes are already giving us valuable insight into the lunar surface, highlighting details.
07/04/2026 - 08:00:47 (-3 TMZ) | 05:12:25:47 (Artemis Clock) | terrain features that make the South Pole both challenging and compelling to explore, and they've also described colors and textures that will help our science community better understand the chemistry across this region. And from an operations standpoint, their observations on lighting and visibility will help us plan.
07/04/2026 - 08:01:18 (-3 TMZ) | 05:12:26:18 (Artemis Clock) | The crew named two craters, one Integrity for their spacecraft, and another Carol, in honor of Commander Reid Wiseman's late wife. As they have throughout the mission, the crew continues to share moments that resonate with them and across the entire NASA family.
07/04/2026 - 08:01:45 (-3 TMZ) | 05:12:26:45 (Artemis Clock) | Speaking of splashdown, we do have a countdown clock up in Mission Control here, and splashdown is coming up in three days, 12 hours, 52 minutes, counting down. At this point, we've completed, or are in the process of completing 23 of the mission's 27 high-priority objectives.
07/04/2026 - 08:02:05 (-3 TMZ) | 05:12:27:05 (Artemis Clock) | This morning, how we prepare for what's next. Let's take a look back on flight day six's highlights. This is Mission Control.
07/04/2026 - 08:02:31 (-3 TMZ) | 05:12:27:31 (Artemis Clock) | we are responding to what we are seeing out the window is, it's just like we're a bunch of little kids up here, just, we cannot get enough of this. It's amazing. Thank you for the privilege.
07/04/2026 - 08:02:36 (-3 TMZ) | 05:12:27:36 (Artemis Clock) | Thank you for sharing that special perspective you have with all of us back here.
07/04/2026 - 08:03:02 (-3 TMZ) | 05:12:28:02 (Artemis Clock) | We recently received confirmation that the Orion spacecraft and its crew have officially entered the lunar sphere of influence, that milestone taking place at a mission elapsed time of 4 days, 6 hours, 2 minutes, and 54 seconds into the Artemis II mission.
07/04/2026 - 08:03:08 (-3 TMZ) | 05:12:28:08 (Artemis Clock) | By reaching this milestone, it means that the gravitational forces of the moon are now greater on the Orion spacecraft than that of Earth.
07/04/2026 - 08:03:47 (-3 TMZ) | 05:12:28:47 (Artemis Clock) | On Apollo 8, we got humanity's first up-close look at the moon and got a view of the home planet that inspired and united people around the world. I'm proud to pass that torch on to you as you swing around the moon and lay the groundwork for missions to Mars.
07/04/2026 - 08:04:13 (-3 TMZ) | 05:12:29:13 (Artemis Clock) | Christina and Jeremy and all the great teams are voting you good luck and Godspeed from all of us here on the good Earth.
07/04/2026 - 08:04:24 (-3 TMZ) | 05:12:29:24 (Artemis Clock) | Good morning, Houston Integrity on 100. That was an awesome message from Jim Lovell Hunt. Very cool to hear him. Welcome us to the neighborhood. It's gonna be a great day. Thank you.
07/04/2026 - 08:04:44 (-3 TMZ) | 05:12:29:44 (Artemis Clock) | away from Earth and 12,712 miles from the moon. Let's actually savor the comm delay that we have. We're ready for the morning DPC.
07/04/2026 - 08:05:10 (-3 TMZ) | 05:12:30:10 (Artemis Clock) | And good morning, Moon. Our room is buzzing with moon joy today, and I imagine yours is, too. We are ready to go. We are looking forward to working with and for the science team, and we are just excited to be so close to finally accomplishing what we've been training for.
07/04/2026 - 08:05:35 (-3 TMZ) | 05:12:30:35 (Artemis Clock) | We have a pretty neat emblem up here. We have a patch that was flown on the Apollo 8 mission, and that patch is here on the Artemis 2 mission as well, and that was sent to us by the Lovell family, by Jim Lovell's son. And so that was a really...
07/04/2026 - 08:06:06 (-3 TMZ) | 05:12:31:06 (Artemis Clock) | We can't wait. We see the patch, and it's looking beautiful. Thank you. When this showed up in our office from his family, we were completely honored. And the Earthrise, which this crew is responsible for taking that photo, has been instrumental both to our crew as our
07/04/2026 - 08:06:32 (-3 TMZ) | 05:12:31:32 (Artemis Clock) | inspire me to keep working hard to achieve things I dreamed about. Also, we took a deep dive into the cockpit recordings around the time that picture was taken, and it turns out there was a lot of hubbub, kind of a, I wouldn't say fighting over cameras, but definitely everyone wanted to...
07/04/2026 - 08:06:38 (-3 TMZ) | 05:12:31:38 (Artemis Clock) | to capture the shot, so we're happy to carry on that legacy because we often are all glued to windows and looking for cameras too.
07/04/2026 - 08:07:12 (-3 TMZ) | 05:12:32:12 (Artemis Clock) | Have a great day.
07/04/2026 - 08:07:18 (-3 TMZ) | 05:12:32:18 (Artemis Clock) | Right now, the Artemis II crew and mission control are preparing to support today's lunar flyby, the first time we've sent humans around the moon in over 50 years. Integrity, you can use the OEs and your HHP camera for the milestone words at the Apollo 13 record distance. You'll notice that we pause.
07/04/2026 - 08:07:44 (-3 TMZ) | 05:12:32:44 (Artemis Clock) | Any time we hear communications to and from the crew, they are the stars for today. This afternoon, the crew will have their closest approach of the moon and will surpass the record, that record just mentioned, of the furthest humans have ever flown, set by the Apollo 13 astronauts in 1970.
07/04/2026 - 08:07:49 (-3 TMZ) | 05:12:32:49 (Artemis Clock) | As you can see, the crew members have dimmed the cabin lights inside Orion.
07/04/2026 - 08:08:15 (-3 TMZ) | 05:12:33:15 (Artemis Clock) | Ahead of this lunar flyby, let's dive in and explain what you can expect over the next several hours. The crew has about six hours allotted to make observations about the moon. Throughout the flyby, their activities have been precisely timelined. There are five blocks of time during which the crew will be...
07/04/2026 - 08:08:41 (-3 TMZ) | 05:12:33:41 (Artemis Clock) | One crew member will be taking photos from window two with a blue shroud over the window. This can help prevent that glare or reflection from inside Orion. They have an 80 to 400 millimeter zoom lens to use. The other astronaut will be in window three using their portable computing device.
07/04/2026 - 08:09:12 (-3 TMZ) | 05:12:34:12 (Artemis Clock) | Recordings will be sent to the science team at a later date. We will not hear them live. The two crew members at the windows will swap roles and positions halfway through their timeline block. The other two crew members who won't be at the windows at that time will be serving in the background as support. One will be conducting the science set reps.
07/04/2026 - 08:09:43 (-3 TMZ) | 05:12:34:43 (Artemis Clock) | missed targets or anything unexpected they saw, lunar target descriptions, any hardware issues and, of course, their emotions and reactions as they fly by the moon. Good morning, crew. This is science. We couldn't be more excited for a full day of lunar and planetary observations today, the first one.
07/04/2026 - 08:09:47 (-3 TMZ) | 05:12:34:47 (Artemis Clock) | in over 54 years. How do you hear me?
07/04/2026 - 08:10:04 (-3 TMZ) | 05:12:35:04 (Artemis Clock) | So let's go!
07/04/2026 - 08:10:16 (-3 TMZ) | 05:12:35:16 (Artemis Clock) | Message received. I will keep it tight here. I did just want to start with a thank you on behalf of the Lunar Science team and the entire Lunar and Planetary Science community, of which you are absolutely a part, for what you've already done in this mission and what you're going to do today to inspire the next generation of scientists. I have to say moon geology...
07/04/2026 - 08:10:33 (-3 TMZ) | 05:12:35:33 (Artemis Clock) | is the new term that's already become our team's new motto, so thanks for that. A reminder also that your observations so far indicate it will likely take some time for your eyes to adjust. We especially heard that around your terminator observations and your color observations. So a reminder to know that your eye
07/04/2026 - 08:11:07 (-3 TMZ) | 05:12:36:07 (Artemis Clock) | as you take their picture.
07/04/2026 - 08:11:13 (-3 TMZ) | 05:12:36:13 (Artemis Clock) | And we're live in Artemis Mission Control in Houston, but we are not the only room monitoring today's flyby. As you heard Yong mention, in this same building and just down the hall, a multidisciplinary lunar science team supports the Artemis II crew in real time, including experts in lunar geology, impact cratering, volcanism, polar science,
07/04/2026 - 08:11:45 (-3 TMZ) | 05:12:36:45 (Artemis Clock) | like what we see today. Additionally, and not pictured, we have the Science Mission Operations room, a back room that processes data, evaluates imagery and supports rapid analysis. Integrity crew, we have Reed's family in the viewing gallery. You're welcome to say hello.
07/04/2026 - 08:12:26 (-3 TMZ) | 05:12:37:26 (Artemis Clock) | I'm seeing a lot of hearts come out of the viewing gallery, and even more smiles. Thanks, Reid.
07/04/2026 - 08:12:46 (-3 TMZ) | 05:12:37:46 (Artemis Clock) | Copy heart. Copy bracelet.
07/04/2026 - 08:13:11 (-3 TMZ) | 05:12:38:11 (Artemis Clock) | since humans have ever traveled from our home planet. At that time, over 55 years ago, Lovell, Swigert, and Haise flew 248,655 statute miles away from Earth. Today, for all humanity, you're pushing beyond that frontier.
07/04/2026 - 08:13:17 (-3 TMZ) | 05:12:38:17 (Artemis Clock) | Integrity, over to you.
07/04/2026 - 08:13:43 (-3 TMZ) | 05:12:38:43 (Artemis Clock) | surpass the furthest distance humans have ever traveled from planet Earth. We do so in honoring the extraordinary efforts and feats of our predecessors in human space exploration.
07/04/2026 - 08:14:07 (-3 TMZ) | 05:12:39:07 (Artemis Clock) | Next, to make sure this record is not long-lived.
07/04/2026 - 08:14:34 (-3 TMZ) | 05:12:39:34 (Artemis Clock) | we would like to propose a couple of potential names for those items or those areas. And we spent a bit of time this morning looking out the window, and we're able to see them now both with our naked eye and through the long lens. And so we feel this is a good time to send this down in a spring.
07/04/2026 - 08:15:00 (-3 TMZ) | 05:12:40:00 (Artemis Clock) | This is a named crater in honor of our great spacecraft integrity. And so if you were to look at Oriental on the far side and then draw a line straight up to Ohm on the far side, relatively in the middle is an unnamed crater, and we would like to suggest it be called...
07/04/2026 - 08:15:06 (-3 TMZ) | 05:12:40:06 (Artemis Clock) | integrity in the future.
07/04/2026 - 08:15:32 (-3 TMZ) | 05:12:40:32 (Artemis Clock) | So we started this journey in our close-knit astronaut family, and we lost a loved one. And there's a feature in a really neat place on the Moon, and it is on the near side-far side boundary. In fact, it's just on the near side of that boundary. And so at certain times...
07/04/2026 - 08:15:43 (-3 TMZ) | 05:12:40:43 (Artemis Clock) | times of the moon's transit around Earth, you can, we will be able to see this from Earth. And so we lost a loved one. Her name was Carol.
07/04/2026 - 08:15:48 (-3 TMZ) | 05:12:40:48 (Artemis Clock) | the spouse of Reed, the mother of Katie and Ellie.
07/04/2026 - 08:15:54 (-3 TMZ) | 05:12:40:54 (Artemis Clock) | And if you want to find this one, you look at Glushko.
07/04/2026 - 08:16:14 (-3 TMZ) | 05:12:41:14 (Artemis Clock) | And we would like to call it Carol, and you spell that C-A-R-R-O-L-L.
07/04/2026 - 08:17:00 (-3 TMZ) | 05:12:42:00 (Artemis Clock) | Integrity and Carol Crater, loud and clear. Thank you.
07/04/2026 - 08:17:20 (-3 TMZ) | 05:12:42:20 (Artemis Clock) | There was a moment of silence here in Mission Control Houston, and now the team and the Artemis II crew are ready to begin their lunar flyby.
07/04/2026 - 08:17:46 (-3 TMZ) | 05:12:42:46 (Artemis Clock) | We just realized that we have Earth out window 1 and Moon out window 2. I'm sorry, Earth out window 4 and Moon out window 3, and it gives you the best idea of scale we have had yet. The Moon is about three to four times the size of the Earth, and it is almost
07/04/2026 - 08:18:06 (-3 TMZ) | 05:12:43:06 (Artemis Clock) | With the wide lens, such a majestic view out here.
07/04/2026 - 08:18:09 (-3 TMZ) | 05:12:43:09 (Artemis Clock) | Amaze, amaze, amaze. Thank you, Reed.
07/04/2026 - 08:18:18 (-3 TMZ) | 05:12:43:18 (Artemis Clock) | Now this is a view from their lunar targeting package at this time, helping them determine what they're seeing on the moon, as well as, on the left, keep up with what their next target will be. As you can see, we have got a long list and an exciting day ahead of us.
07/04/2026 - 08:18:44 (-3 TMZ) | 05:12:43:44 (Artemis Clock) | I've never seen in photographs before, but it's very apparent, all the really bright new craters, some of them are super tiny, most of them are pretty small. There's a couple that really stand out, obviously. And what it really looks like is like a lampshade.
07/04/2026 - 08:19:29 (-3 TMZ) | 05:12:44:29 (Artemis Clock) | We love it. We are getting a sneak preview from one of our SAW cameras of what you're looking at, and we see some of what you're describing. We cannot wait to see your photos. Thanks.
07/04/2026 - 08:19:55 (-3 TMZ) | 05:12:44:55 (Artemis Clock) | longer lenses on their solar array so you can see the whole moon, but man, it is, or the up-close moon, not the whole moon, but it is just fascinating here. It's so cool. All right, MPO and INCO, take note, we want a zoom lens on those saws next time. Thanks, Reed.
07/04/2026 - 08:20:01 (-3 TMZ) | 05:12:45:01 (Artemis Clock) | Affirmative.
07/04/2026 - 08:20:26 (-3 TMZ) | 05:12:45:26 (Artemis Clock) | I just had an overwhelming sense of being moved by looking at the moon. It lasted just a second or two, and I actually couldn't even make it happen again, but something just drew me in suddenly to the lunar landscape, and it became real. And the truth is, the moon really is
07/04/2026 - 08:20:52 (-3 TMZ) | 05:12:45:52 (Artemis Clock) | It is a real place, and it's when we have that perspective and we compare it to our home of the Earth, it just reminds us how much we have in common, everything we need the Earth provides, and that in and of itself is somewhat of a miracle.
07/04/2026 - 08:21:23 (-3 TMZ) | 05:12:46:23 (Artemis Clock) | We had the unfortunate sequence to start looking out the window and then moved to the long lens and it was hard to speak, uh, looking through the zoom, because I went straight where Christina went and I was walking around down there on the surface climbing and...
07/04/2026 - 08:21:49 (-3 TMZ) | 05:12:46:49 (Artemis Clock) | that we would never send someone alone, but I just want to really emphasize how important the discussion time was. When we started to talk, we not only got better science discussion, we got better human connection. And so doing this as a pair, we just learn and grow together. And that's just super important. So thank you for...
07/04/2026 - 08:22:10 (-3 TMZ) | 05:12:47:10 (Artemis Clock) | From your 40 minute lunar flyby LOS, from all of us, it's a privilege to witness you carrying the fire past our farthest reach. Thank you. Godspeed.
07/04/2026 - 08:22:30 (-3 TMZ) | 05:12:47:30 (Artemis Clock) | Thank you for allowing us the immense privilege to be on this journey together. It's quite amazing. And as we...
07/04/2026 - 08:22:55 (-3 TMZ) | 05:12:47:55 (Artemis Clock) | And as you've gone along on this journey with us, hopefully we're doing just those things. And as we get close to the nearest point to the moon and farthest point from Earth, as we continue to unlock the mysteries of the cosmos, I would like to remind you of
07/04/2026 - 08:23:15 (-3 TMZ) | 05:12:48:15 (Artemis Clock) | So what was the greatest command? That it was to love God with all that you are. And...
07/04/2026 - 08:23:18 (-3 TMZ) | 05:12:48:18 (Artemis Clock) | He also, being a great teacher, said the second kind is equal to it, and that is to love your neighbor as yourself.
07/04/2026 - 08:23:37 (-3 TMZ) | 05:12:48:37 (Artemis Clock) | We love from Earth and to all of you down there on Earth and around Earth, we love you from the moon.
07/04/2026 - 08:23:57 (-3 TMZ) | 05:12:48:57 (Artemis Clock) | We are now less than three minutes away from loss of signal with the Orion astronauts.
07/04/2026 - 08:24:16 (-3 TMZ) | 05:12:49:16 (Artemis Clock) | photographing the lunar surface, and they will reemerge, and we will also get this view on the other side.
07/04/2026 - 08:24:18 (-3 TMZ) | 05:12:49:18 (Artemis Clock) | Thirty seconds now until we expect loss of signal.
07/04/2026 - 08:25:01 (-3 TMZ) | 05:12:50:01 (Artemis Clock) | and behind the moon. And this is a poignant moment, as it's the first time in over 50 years that we have humans completely unreachable by anyone else on Earth. No matter how distant or secluded, we could reach anyone living on Earth, but while the crew flies behind the moon, it's simply impossible to make contact.
07/04/2026 - 08:25:07 (-3 TMZ) | 05:12:50:07 (Artemis Clock) | Contact with them.
07/04/2026 - 08:25:18 (-3 TMZ) | 05:12:50:18 (Artemis Clock) | And we just heard confirmation here in Mission Control Houston that we have reached the closest point of our destination to the moon at MET 5 days, 25 minutes, and 34 seconds. And we anticipate the spacecraft's altitude is approximately 4,067...
07/04/2026 - 08:25:24 (-3 TMZ) | 05:12:50:24 (Artemis Clock) | Statue miles above the moon.
07/04/2026 - 08:25:49 (-3 TMZ) | 05:12:50:49 (Artemis Clock) | They are continuing to take pictures of the Earth, or sorry, of the moon, the Earth now out of sight. What they are in right now is a crew choice event. The science team has encouraged them to find interesting features on the surface, to take photos of those, and describe why they were interesting.
07/04/2026 - 08:26:10 (-3 TMZ) | 05:12:51:10 (Artemis Clock) | to look at the darkest portions of the moon. They are interested in short-lived flashes on the lunar surface because these would be caused by impact bombardment.
07/04/2026 - 08:26:30 (-3 TMZ) | 05:12:51:30 (Artemis Clock) | This would only be visible just before Earthrise.
07/04/2026 - 08:26:33 (-3 TMZ) | 05:12:51:33 (Artemis Clock) | Now 20 minutes until we expect to regain communications with Integrity and the astronauts for Artemis II.
07/04/2026 - 08:26:51 (-3 TMZ) | 05:12:51:51 (Artemis Clock) | Orion has come back around the other side of the moon, and that little crescent that you see is Earth, over 252,000 miles away.
07/04/2026 - 08:27:11 (-3 TMZ) | 05:12:52:11 (Artemis Clock) | It has technically begun its journey home.
07/04/2026 - 08:27:19 (-3 TMZ) | 05:12:52:19 (Artemis Clock) | This view from inside the Orion spacecraft, all four astronauts now back on the other side of the moon and in contact with us on Earth. Their tasks for the lunar flyby did not stop as they went behind the moon and out of contact with us. We anticipate during that time they were attempting to...
07/04/2026 - 08:27:38 (-3 TMZ) | 05:12:52:38 (Artemis Clock) | even a lofted lunar dust.
07/04/2026 - 08:27:41 (-3 TMZ) | 05:12:52:41 (Artemis Clock) | Right now, of course, they are getting pictures of Earthrise.
07/04/2026 - 08:27:44 (-3 TMZ) | 05:12:52:44 (Artemis Clock) | Integrity, we have you loud and clear.
07/04/2026 - 08:28:10 (-3 TMZ) | 05:12:53:10 (Artemis Clock) | And it is so great to hear from Earth again. To Asia, Africa, and Oceania, we are looking back at you. We hear you can look up and see the moon right now. We see you too. When we burned this burn towards the moon, I said that we do not leave Earth, but we
07/04/2026 - 08:28:36 (-3 TMZ) | 05:12:53:36 (Artemis Clock) | Build ships, we'll visit again. We will construct science outposts. We will drive rovers. We will do radio astronomy. We will found companies. We will bolster industry. We will inspire. But ultimately, we will always choose Earth. We will always choose...
07/04/2026 - 08:28:41 (-3 TMZ) | 05:12:53:41 (Artemis Clock) | each other.
07/04/2026 - 08:29:01 (-3 TMZ) | 05:12:54:01 (Artemis Clock) | Looking back.
07/04/2026 - 08:29:07 (-3 TMZ) | 05:12:54:07 (Artemis Clock) | Integrity, Houston, in mission control, all of your flight controllers and your flight director have flipped their Artemis II patches around. We are Earth bound and ready to bring you home.
07/04/2026 - 08:29:38 (-3 TMZ) | 05:12:54:38 (Artemis Clock) | team in Artemis Mission Control in Houston and brought us each a patch. Everyone in the flight control room has had these on their signifiers at their console. On one side of the patch that you've probably seen is the moon with the Earth behind it.
07/04/2026 - 08:30:03 (-3 TMZ) | 05:12:55:03 (Artemis Clock) | to switch their patch around so that the Earth is closer and the moon is behind us. We are really looking forward to seeing the Artemis II crew and the CAPCOM Jenny Gibbons did call that update up to the crew that the flight control team here has turned their patches around as was instructed by the crew during that last sim.
07/04/2026 - 08:30:43 (-3 TMZ) | 05:12:55:43 (Artemis Clock) | On Earth, the Moon and the Sun appear about the same size in the sky.
07/04/2026 - 08:31:03 (-3 TMZ) | 05:12:56:03 (Artemis Clock) | As the crew observes a solar eclipse from the moon.
07/04/2026 - 08:31:30 (-3 TMZ) | 05:12:56:30 (Artemis Clock) | The sun has gone behind the moon, and the corona is still visible, and it's bright and it creates a halo almost around the entire moon, but when you get to the earth side, the earthshine is already showing, I mean almost seconds after the sun set behind the moon.
07/04/2026 - 08:31:55 (-3 TMZ) | 05:12:56:55 (Artemis Clock) | This black orb out in front of us, in front of now, not the blackness, but the gray that blends and drifts into the blackness. We can see stars and the planets behind it. And Christina is in window 1. Reed is in window 2 with the long lens.
07/04/2026 - 08:32:20 (-3 TMZ) | 05:12:57:20 (Artemis Clock) | And it is quite an impressive sight. You can still see the horizon a little brighter where the sun set on that side of the moon. It is bright. And the Earthshine is very distinct, and it creates quite an impressive.
07/04/2026 - 08:32:26 (-3 TMZ) | 05:12:57:26 (Artemis Clock) | The visual illusion, wow, it's amazing.
07/04/2026 - 08:32:52 (-3 TMZ) | 05:12:57:52 (Artemis Clock) | are challenging. This one's challenging to capture. What we're seeing, we're just not picking up on the cameras. And after all of the amazing sights that we saw earlier, this is, we just went sci-fi. This has, it just looks unbelievable.
07/04/2026 - 08:33:18 (-3 TMZ) | 05:12:58:18 (Artemis Clock) | See a majority of the moon. It is the strangest looking thing that you can see so much on the surface.
07/04/2026 - 08:33:43 (-3 TMZ) | 05:12:58:43 (Artemis Clock) | comets or impact flashes or something else.
07/04/2026 - 08:34:09 (-3 TMZ) | 05:12:59:09 (Artemis Clock) | Quick impact flashes. It was not sun glint off of particulate from the thrusters or the purge tanks. It was definitely impact flashes on the moon. And Jeremy, just saw another one. Go ahead with your next question. Amazing news. I literally just looked over at the sphere and there were...
07/04/2026 - 08:34:15 (-3 TMZ) | 05:12:59:15 (Artemis Clock) | Jumping up and down, literally. If you could describe where on the moon you saw them, please.
07/04/2026 - 08:34:34 (-3 TMZ) | 05:12:59:34 (Artemis Clock) | on the the Earth side of the moon.
07/04/2026 - 08:34:36 (-3 TMZ) | 05:12:59:36 (Artemis Clock) | Stand by.
07/04/2026 - 08:34:55 (-3 TMZ) | 05:12:59:55 (Artemis Clock) | Incredible news, Reid, and reminder we have citizen scientists here on Earth looking for impact flashes, so hearing you saw them on the near side means that people saw them too.
07/04/2026 - 08:35:19 (-3 TMZ) | 05:13:00:19 (Artemis Clock) | The entire moon is lit up. It's glowing behind the entire moon. I thought it would look, you know, dark against the black sky or deep space, but the sun is lighting up the entire limb of the moon. You can see the entire perimeter of it.
07/04/2026 - 08:35:45 (-3 TMZ) | 05:13:00:45 (Artemis Clock) | You can see around the entire limb, just bumps as you go around it. And there is about the glow around the moon. Once your eyes adjust, it's easily ten widths or diameters of the sun around the entire moon.
07/04/2026 - 08:36:06 (-3 TMZ) | 05:13:01:06 (Artemis Clock) | I'm really glad we launched on April 1st, because humans probably have not evolved to see what we're seeing. It is truly hard to describe. It is amazing.
07/04/2026 - 08:36:31 (-3 TMZ) | 05:13:01:31 (Artemis Clock) | You've got the nice glow around the moon, but you know, right off the, uh, well, we're upside down now, but from upside down 4 o'clock, right off the edge of the moon, looks like a planet, that line of planets, uh, there's something on the moon down under to the left and something right off the limb of the moon to the right, and then...
07/04/2026 - 08:37:04 (-3 TMZ) | 05:13:02:04 (Artemis Clock) | The moon in the foreground is one of the darkest things we see out the window, and now it's deep space behind it is kind of dark blue like it looks from Earth, but we can also still see stars. It's quite a wicked view.
07/04/2026 - 08:37:30 (-3 TMZ) | 05:13:02:30 (Artemis Clock) | It is absolutely spectacular, surreal. There's no adjectives. I'm going to need to invent some new ones to describe what we are looking at out this window.
07/04/2026 - 08:37:55 (-3 TMZ) | 05:13:02:55 (Artemis Clock) | 11 minutes remaining in the eclipse as the, at the latter half of the lunar flyby that the Artemis II crew is experiencing onboard the Orion spacecraft. >> Okay, we all think we're starting to see something. I believe the most popular term is baby hair.
07/04/2026 - 08:38:20 (-3 TMZ) | 05:13:03:20 (Artemis Clock) | This is definitely growing in intensity.
07/04/2026 - 08:38:26 (-3 TMZ) | 05:13:03:26 (Artemis Clock) | Well, the description, Victor, I'm sure as the next couple minutes progress, more of those structures will continue to pop out.
07/04/2026 - 08:38:47 (-3 TMZ) | 05:13:03:47 (Artemis Clock) | Integrity Science, glad to hear you're following your training of tell it like you see it!
07/04/2026 - 08:39:12 (-3 TMZ) | 05:13:04:12 (Artemis Clock) | I'll call up that the crew now has to put on those eclipse glasses to be able to protect their eyes for this final portion of the eclipse. And these views coming to you from the solar ray wing cameras on the Orion spacecraft.
07/04/2026 - 08:39:18 (-3 TMZ) | 05:13:04:18 (Artemis Clock) | We will solicit input from the team.
07/04/2026 - 08:39:48 (-3 TMZ) | 05:13:04:48 (Artemis Clock) | provided to our entire team, the lunar science community, and the entire world with what you were able to bring today. You really brought the moon closer for us today, and we cannot say thank you enough. And Science signing off, and can't wait to talk to you tomorrow morning.
07/04/2026 - 08:40:14 (-3 TMZ) | 05:13:05:14 (Artemis Clock) | Thank you for us to go do some great science and some great, truly human experience moments here. And we were well prepared, and we appreciate all of you. And this is what we do best when we all come together and work as a team, so y'all knocked it out of the park. Thank you for giving us this opportunity.
07/04/2026 - 08:40:19 (-3 TMZ) | 05:13:05:19 (Artemis Clock) | Beautiful work, Reid. Thanks so much.
07/04/2026 - 08:40:45 (-3 TMZ) | 05:13:05:45 (Artemis Clock) | an hour period of time in which they were focused on several different targets identified by the science team here on the ground that they studied and prepared for ahead of time, and then they also were referencing a lunar targeting package that was uplinked about a day ago with those final targets. Now they are...
07/04/2026 - 08:41:12 (-3 TMZ) | 05:13:06:12 (Artemis Clock) | So working to downlink some of the photos that they've taken throughout the day. The science team here on the ground will then work to get as much data as they can overnight, and then there will be a post-flyby conference tomorrow after the crew wakes up, and that's not a debrief, but a science data collection to capture their new
07/04/2026 - 08:41:28 (-3 TMZ) | 05:13:06:28 (Artemis Clock) | wants to experience while they're still in the field and the experience is still fresh. And they are now about 8,100 miles away from the moon and that distance will continue to increase as they are now in the return leg of their journey. Artemis II crew, we have a very special...
07/04/2026 - 08:41:54 (-3 TMZ) | 05:13:06:54 (Artemis Clock) | It's my honor to introduce the President of the United States of America, President Donald J. Trump. Over to you, sir. Well, thank you very much, Jared, and you are doing a fantastic job. And hello, very special hello to Artemis II. Today, you've made history and made all of us proud.
07/04/2026 - 08:42:20 (-3 TMZ) | 05:13:07:20 (Artemis Clock) | like what you're doing, circling around the moon for the first time in more than a half a century and breaking the all-time record for the farthest distance from planet Earth. Humans have really never seen anything quite like what you're doing in a manned spacecraft. It's really special. I wanna personally salute...
07/04/2026 - 08:42:46 (-3 TMZ) | 05:13:07:46 (Artemis Clock) | Christina Koch and Jeremy Hansen. President, this call is certainly special to all of us, and we really have a lot of faith in our administrator, Jared Isaacman, who's with you. We appreciate his leadership in NASA and in the international community. We are doing great things, and we are proud to be a part of it.
07/04/2026 - 08:43:05 (-3 TMZ) | 05:13:08:05 (Artemis Clock) | or if it was just a specific change request for the events this evening.
07/04/2026 - 08:43:25 (-3 TMZ) | 05:13:08:25 (Artemis Clock) | Take it and try it for a while.
07/04/2026 - 08:43:28 (-3 TMZ) | 05:13:08:28 (Artemis Clock) | And Reed, we are able to support keeping the fan speed in this config. Happy to keep it here to collect data.
07/04/2026 - 08:43:46 (-3 TMZ) | 05:13:08:46 (Artemis Clock) | we're happy astronauts up here. We'll take it. Obviously, when we go to exercise, we'll need to pump it up, but I think for quiets of living, this will be great.
07/04/2026 - 08:43:50 (-3 TMZ) | 05:13:08:50 (Artemis Clock) | We copy and we love seeing those smiles.
